Date,AAPL,AMZN,BAC,GLD,GOOGL,GS,JPM,LRCX,META,MSFT,NVDA,QQQ,SLV,SPY,SPYG,XLE,XLF,XLK
2020-01-02,72.33385467529297,94.90049743652344,30.58755874633789,143.9499969482422,67.87303161621094,202.11891174316406,118.43031311035156,27.715730667114258,208.14657592773438,152.1583709716797,5.970754146575928,208.31756591796875,16.809999465942383,296.8882141113281,40.24706268310547,23.356090545654297,27.642967224121094,44.29417419433594
2020-01-03,71.6306381225586,93.74849700927734,29.952457427978516,145.86000061035156,67.51795959472656,199.7554473876953,116.86748504638672,27.417999267578125,207.04518127441406,150.26373291015625,5.875187397003174,206.4093780517578,16.84000015258789,294.6400146484375,39.953495025634766,23.28668785095215,27.349462509155273,43.79616928100586
2020-01-06,72.20140838623047,95.14399719238281,29.909549713134766,147.38999938964844,69.31758880615234,201.7997589111328,116.77452850341797,26.906280517578125,210.9446258544922,150.65219116210938,5.899824619293213,207.7393035888672,16.940000534057617,295.7641296386719,40.14288330078125,23.4678897857666,27.33167839050293,43.900516510009766
2020-01-07,71.86183166503906,95.34300231933594,29.712154388427734,147.97000122070312,69.18370819091797,203.12811279296875,114.78933715820312,27.562217712402344,211.40103149414062,149.278564453125,5.971251487731934,207.7104034423828,17.170000076293945,294.9325866699219,40.10500717163086,23.406204223632812,27.153793334960938,43.88154983520508
2020-01-08,73.01783752441406,94.59850311279297,30.012548446655273,146.86000061035156,69.67613220214844,205.08615112304688,115.68478393554688,27.909250259399414,213.54420471191406,151.65631103515625,5.982450008392334,209.27159118652344,16.93000030517578,296.5043640136719,40.3607063293457,23.020666122436523,27.33167839050293,44.35110092163086
2020-01-09,74.56880950927734,95.05249786376953,30.06403350830078,146.02999877929688,70.40758514404297,209.2610626220703,116.10719299316406,27.719449996948242,216.60023498535156,153.55093383789062,6.048154830932617,211.0448760986328,16.719999313354492,298.51483154296875,40.75843811035156,23.19029998779297,27.50066566467285,44.853851318359375
2020-01-10,74.73737335205078,94.15799713134766,29.815143585205078,146.91000366210938,70.8623275756836,208.83837890625,114.9498291015625,27.38543701171875,216.3621063232422,152.8404541015625,6.08051061630249,210.50521850585938,16.889999389648438,297.6558532714844,40.63533020019531,23.059215545654297,27.296098709106445,44.749507904052734
2020-01-13,76.3340835571289,94.56500244140625,30.089784622192383,145.82000732421875,71.41130065917969,211.5123748779297,115.90440368652344,27.659902572631836,220.18211364746094,154.67825317382812,6.27114725112915,212.9337615966797,16.780000686645508,299.702880859375,41.052005767822266,23.06692886352539,27.48287582397461,45.30916976928711
2020-01-14,75.30331420898438,93.47200012207031,30.31292152404785,145.69000244140625,70.94316864013672,211.90052795410156,117.25608825683594,27.982751846313477,217.35430908203125,153.58885192871094,6.1541748046875,212.09530639648438,16.6200008392334,299.2459411621094,40.900489807128906,23.070785522460938,27.42951202392578,45.095733642578125
2020-01-15,74.98060607910156,93.10099792480469,29.755069732666016,146.5399932861328,71.3701400756836,211.5123748779297,115.49894714355469,27.757593154907227,219.4280548095703,154.58351135253906,6.111616134643555,212.18206787109375,16.809999465942383,299.9221496582031,41.014129638671875,22.901145935058594,27.278316497802734,45.14790725708008
